,carat,cut,cut_ord,color,clarity,clarity_ord,price,predicted_price,pred_price_modified
1,0.51,Premium,4,F,VS1,4,1749,1470.03,1470.03
2,2.25,Fair,1,G,I1,1,7069,14272.35,14272.35
3,0.7,Very Good,3,E,VS2,5,2757,3364.4,3364.4
4,0.47,Good,2,F,VS1,4,1243,817.31,817.31
5,0.3,Ideal,5,G,VVS1,7,789,1223.4,1223.4
6,0.33,Ideal,5,D,SI1,3,728,-340.21,0
7,2.01,Very Good,3,G,SI1,3,18398,13477.43,13477.43
8,0.51,Ideal,5,F,VVS2,6,2203,2536.13,2536.13
9,1.7,Premium,4,D,SI1,3,15100,11027.5,11027.5
10,0.53,Premium,4,D,VS2,5,1857,2092.29,2092.29
11,0.39,Premium,4,H,SI1,3,834,6.47,6.47
12,1.5,Very Good,3,H,SI1,3,7708,9186.8,9186.8
13,1,Premium,4,E,VS2,5,6272,6046.4,6046.4
14,1.29,Ideal,5,J,VS1,4,5676,8190.27,8190.27
15,2.01,Good,2,D,SI2,2,16776,12865.33,12865.33
16,1.13,Ideal,5,G,VS1,4,7404,6844.19,6844.19
17,0.7,Ideal,5,I,SI2,2,1702,2318.6,2318.6
18,0.38,Very Good,3,I,VS1,4,606,218.24,218.24
19,1.17,Ideal,5,H,SI2,2,5423,6272.71,6272.71
20,1.51,Premium,4,F,SI1,3,8033,9429.03,9429.03
21,0.4,Ideal,5,D,VVS1,7,1279,2064.7,2064.7
22,0.41,Very Good,3,F,VS2,5,863,924.63,924.63
23,0.51,Ideal,5,G,VVS1,7,1893,2990.13,2990.13
24,1,Premium,4,H,SI2,2,3584,4684.4,4684.4
25,1.09,Ideal,5,F,VVS2,6,10196,7415.67,7415.67
26,0.39,Good,2,E,VS1,4,1082,144.27,144.27
27,0.72,Premium,4,E,VS2,5,3024,3690.76,3690.76
28,1.14,Very Good,3,E,SI2,2,5593,5704.12,5704.12
29,0.3,Ideal,5,D,VS2,5,710,315.4,315.4
30,0.3,Ideal,5,H,SI1,3,465,-592.6,0
31,0.71,Very Good,3,H,SI1,3,2188,2540.53,2540.53
32,1.22,Very Good,3,H,SI2,2,5192,6377.16,6377.16
33,1.53,Ideal,5,H,SI2,2,9562,9301.39,9301.39
34,0.5,Premium,4,F,VS2,5,1436,1839.9,1839.9
35,0.42,Ideal,5,G,VS2,5,1087,1324.96,1324.96
36,1.22,Ideal,5,H,SI1,3,6727,7147.36,7147.36
37,0.3,Ideal,5,I,VVS1,7,552,1223.4,1223.4
38,0.25,Ideal,5,G,VVS2,6,525,348.75,348.75
39,0.33,Very Good,3,H,VS1,4,579,-202.41,0
40,1.2,Ideal,5,G,SI1,3,6741,6979.1,6979.1
41,0.7,Ideal,5,G,VVS2,6,3205,4134.6,4134.6
42,0.31,Premium,4,F,VS2,5,802,241.43,241.43
43,0.41,Ideal,5,F,VS2,5,1107,1240.83,1240.83
44,0.9,Ideal,5,E,SI2,2,3200,4001.2,4001.2
45,1.44,Good,2,G,I1,1,5987,7615.92,7615.92
46,0.7,Good,2,G,SI1,3,2218,2298.3,2298.3
47,0.35,Premium,4,E,SI1,3,788,-330.05,0
48,0.54,Premium,4,D,SI1,3,1595,1268.42,1268.42
49,1.71,Very Good,3,F,VS2,5,13818,11861.53,11861.53
50,1.01,Premium,4,F,VS2,5,6244,6130.53,6130.53
51,0.43,Ideal,5,G,SI2,2,935,47.09,47.09
52,0.71,Ideal,5,E,VS2,5,3304,3764.73,3764.73
53,0.32,Very Good,3,F,VS2,5,602,167.46,167.46
54,1.13,Ideal,5,G,VS2,5,6891,7298.19,7298.19
55,0.91,Premium,4,E,SI2,2,3639,3927.23,3927.23
56,1.02,Very Good,3,E,SI1,3,5278,5148.56,5148.56
57,0.36,Ideal,5,E,VS1,4,1094,366.18,366.18
58,0.3,Premium,4,G,VS1,4,776,-296.7,0
59,0.3,Ideal,5,G,IF,8,863,1677.4,1677.4
60,0.77,Ideal,5,I,SI1,3,2475,3361.51,3361.51
61,0.4,Ideal,5,H,VS1,4,815,702.7,702.7
62,0.7,Very Good,3,I,VVS1,7,2513,4272.4,4272.4
63,0.4,Very Good,3,E,VVS2,6,1075,1294.5,1294.5
64,0.58,Ideal,5,F,SI1,3,1401,1763.04,1763.04
65,1.01,Premium,4,E,SI1,3,5656,5222.53,5222.53
66,1.3,Premium,4,F,SI1,3,8164,7662.3,7662.3
67,0.34,Ideal,5,D,I1,1,413,-1164.08,0
68,0.33,Ideal,5,E,VVS2,6,802,1021.79,1021.79
69,1.22,Premium,4,E,SI2,2,6121,6535.26,6535.26
70,0.26,Ideal,5,F,VS1,4,452,-475.12,0
71,0.57,Premium,4,I,VVS1,7,1608,3336.81,3336.81
72,1.01,Premium,4,F,SI2,2,4137,4768.53,4768.53
73,0.31,Ideal,5,H,VS1,4,544,-54.47,0
74,1.01,Ideal,5,J,VS2,5,4617,6288.63,6288.63
75,0.51,Fair,1,H,VS1,4,1234,995.73,995.73
76,0.42,Ideal,5,D,VVS2,6,1210,1778.96,1778.96
77,0.31,Very Good,3,I,SI1,3,408,-824.67,0
78,0.28,Very Good,3,F,VVS1,7,642,738.94,738.94
79,0.42,Very Good,3,G,VS2,5,854,1008.76,1008.76
80,0.5,Ideal,5,E,SI1,3,1555,1090,1090
81,0.79,Ideal,5,E,VS1,4,4240,3983.77,3983.77
82,1.03,Ideal,5,G,SI2,2,4928,5094.89,5094.89
83,0.73,Ideal,5,G,VVS1,7,4182,4840.99,4840.99
84,1.01,Very Good,3,D,SI2,2,4606,4610.43,4610.43
85,1.12,Ideal,5,G,VS2,5,6774,7214.06,7214.06
86,2.01,Premium,4,I,VS2,5,17826,14543.53,14543.53
87,0.36,Ideal,5,E,VS2,5,718,820.18,820.18
88,1,Fair,1,H,VS1,4,5460,5118.1,5118.1
89,1.51,Good,2,G,VS2,5,11640,10020.83,10020.83
90,0.8,Very Good,3,E,SI1,3,3293,3297.7,3297.7
91,0.53,Premium,4,F,VS2,5,1753,2092.29,2092.29
92,2.09,Very Good,3,I,VS1,4,18215,14604.47,14604.47
93,1.01,Fair,1,G,SI1,3,4004,4748.23,4748.23
94,0.58,Premium,4,I,VVS1,7,1636,3420.94,3420.94
95,0.7,Very Good,3,D,VS1,4,3247,2910.4,2910.4
96,1,Very Good,3,F,VS1,4,6098,5434.3,5434.3
97,0.36,Ideal,5,D,SI1,3,626,-87.82,0
98,1.1,Ideal,5,E,I1,1,3872,5229.8,5229.8
99,1,Ideal,5,E,SI2,2,4760,4842.5,4842.5
100,0.56,Fair,1,E,SI2,2,1389,508.38,508.38
101,0.96,Very Good,3,D,SI2,2,3480,4189.78,4189.78
102,0.37,Premium,4,E,VS2,5,692,746.21,746.21
103,0.92,Ideal,5,D,SI1,3,5779,4623.46,4623.46
104,0.33,Ideal,5,H,IF,8,959,1929.79,1929.79
105,0.51,Good,2,G,SI2,2,1129,245.83,245.83
106,0.77,Ideal,5,D,VS1,4,4039,3815.51,3815.51
107,0.41,Premium,4,F,VVS2,6,1192,1536.73,1536.73
108,0.44,Premium,4,E,SI2,2,1028,-26.88,0
109,1.24,Premium,4,F,SI1,3,7162,7157.52,7157.52
110,0.57,Very Good,3,E,SI2,2,1384,908.71,908.71
111,0.39,Premium,4,G,VVS2,6,1024,1368.47,1368.47
112,0.6,Ideal,5,F,VS1,4,2142,2385.3,2385.3
113,0.8,Premium,4,F,SI2,2,2447,3001.8,3001.8
114,1.01,Ideal,5,F,SI1,3,5486,5380.63,5380.63
115,0.71,Ideal,5,I,SI1,3,2319,2856.73,2856.73
116,0.29,Very Good,3,G,VVS1,7,607,823.07,823.07
117,0.38,Very Good,3,D,SI1,3,701,-235.76,0
118,0.91,Very Good,3,J,SI1,3,2905,4223.13,4223.13
119,0.51,Ideal,5,G,VS2,5,1450,2082.13,2082.13
120,0.77,Premium,4,H,VS2,5,2546,4111.41,4111.41
121,1.58,Premium,4,J,SI1,3,7654,10017.94,10017.94
122,0.51,Ideal,5,F,VS2,5,1431,2082.13,2082.13
123,0.33,Ideal,5,F,VVS1,7,1141,1475.79,1475.79
124,0.7,Ideal,5,E,SI1,3,3330,2772.6,2772.6
125,1.51,Ideal,5,E,SI1,3,11628,9587.13,9587.13
126,0.3,Premium,4,J,SI2,2,405,-1204.7,0
127,1.09,Premium,4,E,SI2,2,5127,5441.57,5441.57
128,1.23,Ideal,5,I,VVS2,6,7256,8593.49,8593.49
129,0.5,Ideal,5,I,SI1,3,1076,1090,1090
130,0.71,Premium,4,E,SI1,3,2554,2698.63,2698.63
131,0.72,Ideal,5,E,VS2,5,2691,3848.86,3848.86
132,0.33,Premium,4,G,VS1,4,854,-44.31,0
133,1.52,Very Good,3,I,VS1,4,9576,9809.06,9809.06
134,1.23,Ideal,5,G,VS1,4,9116,7685.49,7685.49
135,0.54,Ideal,5,G,VVS2,6,1829,2788.52,2788.52
136,0.32,Ideal,5,F,VS2,5,828,483.66,483.66
137,1.31,Premium,4,E,SI1,3,8767,7746.43,7746.43
138,1.11,Ideal,5,D,SI2,2,5648,5767.93,5767.93
139,1.03,Very Good,3,H,SI2,2,4283,4778.69,4778.69
140,0.56,Ideal,5,J,VS2,5,1131,2502.78,2502.78
141,1.29,Very Good,3,H,SI2,2,5601,6966.07,6966.07
142,0.53,Ideal,5,G,VS2,5,1577,2250.39,2250.39
143,1.7,Premium,4,I,VS2,5,11257,11935.5,11935.5
144,0.3,Ideal,5,F,VS1,4,615,-138.6,0
145,0.32,Premium,4,H,VVS2,6,828,779.56,779.56
146,1.51,Good,2,H,VS2,5,10763,10020.83,10020.83
147,0.43,Ideal,5,E,SI1,3,1016,501.09,501.09
148,0.3,Very Good,3,G,VS1,4,620,-454.8,0
149,3,Good,2,E,I1,1,11548,20740.2,20740.2
150,0.75,Ideal,5,J,SI2,2,1944,2739.25,2739.25
