,carat,cut,cut_ord,color,clarity,clarity_ord,predicted_price,bid,pred_price_modified,bid_modified
1,1.22,Premium,4,G,SI1,3,6989.26,4892.482,6989.26,4892.482
2,1.01,Good,2,G,VS2,5,5814.33,4070.031,5814.33,4070.031
3,0.71,Very Good,3,I,VS2,5,3448.53,2413.971,3448.53,2413.971
4,1.01,Ideal,5,D,SI2,2,4926.63,3448.641,4926.63,3448.641
5,0.27,Ideal,5,H,VVS2,6,517.01,361.907,517.01,361.907
6,0.52,Premium,4,G,VS1,4,1554.16,1087.912,1554.16,1087.912
7,1.01,Premium,4,F,SI1,3,5222.53,3655.771,5222.53,3655.771
8,0.59,Ideal,5,D,SI1,3,1847.17,1293.019,1847.17,1293.019
9,1.01,Good,2,E,SI1,3,4906.33,3434.431,4906.33,3434.431
10,2.03,Ideal,5,F,SI2,2,13507.89,9455.523,13507.89,9455.523
11,1.35,Premium,4,H,VS2,5,8990.95,6293.665,8990.95,6293.665
12,0.74,Ideal,5,G,SI1,3,3109.12,2176.384,3109.12,2176.384
13,0.9,Premium,4,D,SI1,3,4297.1,3007.97,4297.1,3007.97
14,0.3,Good,2,G,VS2,5,-158.9,-111.23,0,0
15,1.01,Good,2,F,VS2,5,5814.33,4070.031,5814.33,4070.031
16,1.02,Good,2,H,SI2,2,4536.46,3175.522,4536.46,3175.522
17,2.05,Premium,4,G,SI1,3,13972.05,9780.435,13972.05,9780.435
18,0.54,Ideal,5,I,SI1,3,1426.52,998.564,1426.52,998.564
19,0.72,Ideal,5,G,VS2,5,3848.86,2694.202,3848.86,2694.202
20,2,Premium,4,J,SI2,2,13097.4,9168.18,13097.4,9168.18
21,1.57,Premium,4,G,SI2,2,9479.81,6635.867,9479.81,6635.867
22,0.89,Premium,4,G,SI1,3,4212.97,2949.079,4212.97,2949.079
23,0.33,Premium,4,I,VVS2,6,863.69,604.583,863.69,604.583
24,0.3,Very Good,3,G,IF,8,1361.2,952.84,1361.2,952.84
25,1.79,Very Good,3,I,VS2,5,12534.57,8774.199,12534.57,8774.199
26,1.11,Ideal,5,E,SI2,2,5767.93,4037.551,5767.93,4037.551
27,0.79,Premium,4,F,SI1,3,3371.67,2360.169,3371.67,2360.169
28,0.71,Very Good,3,F,SI1,3,2540.53,1778.371,2540.53,1778.371
29,0.73,Ideal,5,G,SI1,3,3024.99,2117.493,3024.99,2117.493
30,0.9,Very Good,3,G,VS2,5,5047,3532.9,5047,3532.9
31,1.31,Good,2,I,VS1,4,7884.23,5518.961,7884.23,5518.961
32,1.01,Ideal,5,F,SI2,2,4926.63,3448.641,4926.63,3448.641
33,0.35,Premium,4,D,SI1,3,-330.05,-231.035,0,0
34,0.41,Premium,4,G,VS2,5,1082.73,757.911,1082.73,757.911
35,0.32,Premium,4,E,VS2,5,325.56,227.892,325.56,227.892
36,0.38,Ideal,5,D,VS1,4,534.44,374.108,534.44,374.108
37,1.21,Premium,4,I,SI2,2,6451.13,4515.791,6451.13,4515.791
38,1,Premium,4,F,SI1,3,5138.4,3596.88,5138.4,3596.88
39,0.56,Ideal,5,H,VS2,5,2502.78,1751.946,2502.78,1751.946
40,1,Good,2,J,SI1,3,4822.2,3375.54,4822.2,3375.54
41,0.32,Premium,4,H,VVS1,7,1233.56,863.492,1233.56,863.492
42,1.7,Ideal,5,D,SI1,3,11185.6,7829.92,11185.6,7829.92
43,2.26,Very Good,3,D,SI2,2,15126.68,10588.676,15126.68,10588.676
44,0.32,Premium,4,D,VS2,5,325.56,227.892,325.56,227.892
45,0.4,Very Good,3,F,VVS1,7,1748.5,1223.95,1748.5,1223.95
46,2.13,Very Good,3,G,SI2,2,14032.99,9823.093,14032.99,9823.093
47,0.7,Premium,4,G,VS2,5,3522.5,2465.75,3522.5,2465.75
48,2.01,Premium,4,H,SI1,3,13635.53,9544.871,13635.53,9544.871
49,1.15,Premium,4,G,SI1,3,6400.35,4480.245,6400.35,4480.245
50,0.71,Ideal,5,E,VS1,4,3310.73,2317.511,3310.73,2317.511
51,1.35,Premium,4,G,VVS2,6,9444.95,6611.465,9444.95,6611.465
52,0.51,Ideal,5,F,SI1,3,1174.13,821.891,1174.13,821.891
53,0.34,Ideal,5,D,IF,8,2013.92,1409.744,2013.92,1409.744
54,1.58,Ideal,5,G,VS1,4,10630.04,7441.028,10630.04,7441.028
55,2.05,Good,2,G,SI2,2,13201.85,9241.295,13201.85,9241.295
56,0.41,Ideal,5,H,VS1,4,786.83,550.781,786.83,550.781
57,0.6,Fair,1,F,SI1,3,1298.9,909.23,1298.9,909.23
58,0.31,Ideal,5,H,IF,8,1761.53,1233.071,1761.53,1233.071
59,0.64,Very Good,3,D,SI1,3,1951.62,1366.134,1951.62,1366.134
60,0.71,Premium,4,J,SI1,3,2698.63,1889.041,2698.63,1889.041
61,0.55,Ideal,5,F,VS2,5,2418.65,1693.055,2418.65,1693.055
62,1.26,Very Good,3,G,VVS2,6,8529.68,5970.776,8529.68,5970.776
63,1.03,Premium,4,G,VS1,4,5844.79,4091.353,5844.79,4091.353
64,1.01,Premium,4,H,SI2,2,4768.53,3337.971,4768.53,3337.971
65,0.25,Very Good,3,E,VVS2,6,32.55,22.785,32.55,22.785
66,0.9,Premium,4,H,SI1,3,4297.1,3007.97,4297.1,3007.97
67,0.45,Premium,4,D,VS1,4,965.25,675.675,965.25,675.675
68,0.3,Ideal,5,F,IF,8,1677.4,1174.18,1677.4,1174.18
69,0.9,Good,2,D,SI2,2,3526.9,2468.83,3526.9,2468.83
70,0.8,Very Good,3,F,VS2,5,4205.7,2943.99,4205.7,2943.99
71,0.33,Premium,4,G,VS1,4,-44.31,-31.017,0,0
72,0.71,Ideal,5,G,SI1,3,2856.73,1999.711,2856.73,1999.711
73,0.7,Premium,4,D,SI1,3,2614.5,1830.15,2614.5,1830.15
74,0.78,Ideal,5,H,SI2,2,2991.64,2094.148,2991.64,2094.148
75,0.7,Very Good,3,F,SI2,2,2002.4,1401.68,2002.4,1401.68
76,0.38,Ideal,5,F,VVS2,6,1442.44,1009.708,1442.44,1009.708
77,0.54,Premium,4,J,VS2,5,2176.42,1523.494,2176.42,1523.494
78,0.25,Good,2,E,VVS2,6,-125.55,-87.885,0,0
79,2.5,Good,2,J,VS2,5,18349.7,12844.79,18349.7,12844.79
80,0.72,Good,2,D,VS1,4,2920.56,2044.392,2920.56,2044.392
81,0.41,Ideal,5,E,VS2,5,1240.83,868.581,1240.83,868.581
